北京,2003,6946
北京,2004,8477
北京,2005,11795
北京,2006,13825
北京,2007,18069
北京,2008,26158
北京,2009,27327
北京,2010,32760
北京,2011,40683
北京,2012,50490
北京,2013,64201
北京,2014,74938
北京,2015,85528
北京,2016,98497
北京,2017,104789
北京,2018,123172
北京,2019,129931
天津,2003,3383
天津,2004,3724
天津,2005,4210
天津,2006,4104
天津,2007,4322
天津,2008,4624
天津,2009,5787
天津,2010,6895
天津,2011,9542
天津,2012,12606
天津,2013,19793
天津,2014,20915
天津,2015,25966
天津,2016,31138
天津,2017,25439
天津,2018,25013
天津,2019,23145
河北省张家口,2003,14
河北省张家口,2004,20
河北省张家口,2005,23
河北省张家口,2006,29
河北省张家口,2007,38
河北省张家口,2008,36
河北省张家口,2009,49
河北省张家口,2010,37
河北省张家口,2011,64
河北省张家口,2012,91
河北省张家口,2013,183
河北省张家口,2014,335
河北省张家口,2015,318
河北省张家口,2016,329
河北省张家口,2017,374
河北省张家口,2018,563
河北省张家口,2019,450
河北省承德,2003,31
河北省承德,2004,19
河北省承德,2005,27
河北省承德,2006,30
河北省承德,2007,29
河北省承德,2008,25
河北省承德,2009,42
河北省承德,2010,60
河北省承德,2011,69
河北省承德,2012,99
河北省承德,2013,92
河北省承德,2014,108
河北省承德,2015,211
河北省承德,2016,275
河北省承德,2017,361
河北省承德,2018,425
河北省承德,2019,458
河北省秦皇岛,2003,68
河北省秦皇岛,2004,78
河北省秦皇岛,2005,94
河北省秦皇岛,2006,163
河北省秦皇岛,2007,178
河北省秦皇岛,2008,228
河北省秦皇岛,2009,303
河北省秦皇岛,2010,333
河北省秦皇岛,2011,410
河北省秦皇岛,2012,676
河北省秦皇岛,2013,683
河北省秦皇岛,2014,752
河北省秦皇岛,2015,1001
河北省秦皇岛,2016,1376
河北省秦皇岛,2017,1591
河北省秦皇岛,2018,2192
河北省秦皇岛,2019,2301
河北省唐山,2003,62
河北省唐山,2004,72
河北省唐山,2005,81
河北省唐山,2006,116
河北省唐山,2007,149
河北省唐山,2008,161
河北省唐山,2009,206
河北省唐山,2010,313
河北省唐山,2011,511
河北省唐山,2012,734
河北省唐山,2013,754
河北省唐山,2014,905
河北省唐山,2015,1103
河北省唐山,2016,1532
河北省唐山,2017,1990
河北省唐山,2018,2530
河北省唐山,2019,2776
河北省沧州,2003,31
河北省沧州,2004,11
河北省沧州,2005,18
河北省沧州,2006,22
河北省沧州,2007,20
河北省沧州,2008,35
河北省沧州,2009,50
河北省沧州,2010,56
河北省沧州,2011,128
河北省沧州,2012,154
河北省沧州,2013,193
河北省沧州,2014,264
河北省沧州,2015,435
河北省沧州,2016,651
河北省沧州,2017,524
河北省沧州,2018,904
河北省沧州,2019,903
河北省衡水,2003,14
河北省衡水,2004,16
河北省衡水,2005,15
河北省衡水,2006,16
河北省衡水,2007,22
河北省衡水,2008,33
河北省衡水,2009,55
河北省衡水,2010,59
河北省衡水,2011,89
河北省衡水,2012,141
河北省衡水,2013,154
河北省衡水,2014,232
河北省衡水,2015,311
河北省衡水,2016,392
河北省衡水,2017,516
河北省衡水,2018,449
河北省衡水,2019,623
河北省廊坊,2003,31
河北省廊坊,2004,19
河北省廊坊,2005,31
河北省廊坊,2006,38
河北省廊坊,2007,66
河北省廊坊,2008,126
河北省廊坊,2009,188
河北省廊坊,2010,190
河北省廊坊,2011,262
河北省廊坊,2012,336
河北省廊坊,2013,328
河北省廊坊,2014,530
河北省廊坊,2015,714
河北省廊坊,2016,903
河北省廊坊,2017,1302
河北省廊坊,2018,2164
河北省廊坊,2019,2147
河北省保定,2003,46
河北省保定,2004,85
河北省保定,2005,130
河北省保定,2006,147
河北省保定,2007,169
河北省保定,2008,188
河北省保定,2009,294
河北省保定,2010,396
河北省保定,2011,699
河北省保定,2012,969
河北省保定,2013,1419
河北省保定,2014,1257
河北省保定,2015,1402
河北省保定,2016,1850
河北省保定,2017,2364
河北省保定,2018,2586
河北省保定,2019,2580
河北省石家庄,2003,215
河北省石家庄,2004,234
河北省石家庄,2005,310
河北省石家庄,2006,348
河北省石家庄,2007,419
河北省石家庄,2008,582
河北省石家庄,2009,638
河北省石家庄,2010,773
河北省石家庄,2011,1048
河北省石家庄,2012,1316
河北省石家庄,2013,1558
河北省石家庄,2014,1893
河北省石家庄,2015,2521
河北省石家庄,2016,3152
河北省石家庄,2017,3705
河北省石家庄,2018,4647
河北省石家庄,2019,5481
河北省邢台,2003,20
河北省邢台,2004,18
河北省邢台,2005,26
河北省邢台,2006,26
河北省邢台,2007,20
河北省邢台,2008,28
河北省邢台,2009,60
河北省邢台,2010,66
河北省邢台,2011,91
河北省邢台,2012,166
河北省邢台,2013,176
河北省邢台,2014,235
河北省邢台,2015,441
河北省邢台,2016,793
河北省邢台,2017,656
河北省邢台,2018,870
河北省邢台,2019,856
河北省邯郸,2003,56
河北省邯郸,2004,39
河北省邯郸,2005,47
河北省邯郸,2006,93
河北省邯郸,2007,71
河北省邯郸,2008,117
河北省邯郸,2009,210
河北省邯郸,2010,247
河北省邯郸,2011,355
河北省邯郸,2012,551
河北省邯郸,2013,664
河北省邯郸,2014,674
河北省邯郸,2015,954
河北省邯郸,2016,956
河北省邯郸,2017,1086
河北省邯郸,2018,1671
河北省邯郸,2019,1395
上海,2003,5446
上海,2004,7133
上海,2005,9469
上海,2006,11644
上海,2007,14759
上海,2008,16769
上海,2009,20862
上海,2010,23737
上海,2011,28437
上海,2012,32721
上海,2013,35950
上海,2014,37658
上海,2015,43804
上海,2016,51598
上海,2017,57553
上海,2018,63847
上海,2019,71178
江苏省南京,2003,1121
江苏省南京,2004,1587
江苏省南京,2005,1944
